"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 1517"," 1836","default"," 2877"," 3044","default"," 2254"," 4328","default"," 4059"," 4427","default"," 1216"," 2237","default"," 2093"," 5637","default"," 3489"," 3940","default"," 4080"," 4297","default"," 1919"," 3141","default","5687","11086","default","6653","15178","default","1496","8750","default"," 3586"," 3752","default"," 1792","17035","default"," 2292","21698","default"," 1230","16408","default","5189","12309","default","1995","2513","default"
" 4293"," 5379","default"," 3160"," 7121","default","13003","14758","default"," 4510"," 5095","default"," 4660"," 5095","default","13026","13778","default"," 4056"," 8270","default"," 4799"," 5384","default"," 7101"," 7703","default","","","","","","","","",""," 3770"," 7631","default","22250","27433","default","22367","23604","default","19451","30132","default","","","","2581","6243","default"
" 6081"," 6733","default"," 7891"," 9511","default","17482","18334","default"," 7136"," 7820","default"," 6298"," 7485","default","15165","15851","default","11129","11980","default","11001","11469","default"," 8874"," 9475","default","","","","","","","","","","23811","26704","default","","","","23938","29972","default","","","","","","","7798","9685","default"
" 8405"," 9023","default","10416","12453","default","19890","20358","default"," 8790"," 9208","default","16395","16795","default","","","","18617","19034","default","12254","13024","default","11782","12017","default","","","","","","","","","","28225","30129","default","","","","","","","","","","","","","","",""
"14690","15358","default","16732","21998","default","26307","27093","default","14975","15493","default","20072","21125","default","","","","20321","20722","default","14712","15397","default","12585","12952","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18000","18601","default","23116","25356","default","28464","29115","default","16178","16948","default","21944","22563","default","","","","23514","23864","default","16735","17370","default","14925","15860","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21526","21995","default","28883","30221","default","","","","22395","22899","default","","","","","","","28161","28478","default","20027","20194","default","17582","18184","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25922","26490","default","","","","","","","","","","","","","","","","","","","20913","22919","default","22431","22848","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28396","28798","default","","","","","","","","","","","","","","","","","","","24724","25208","default","26775","27344","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","26413","26964","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","29606","30141","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
