"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 3138"," 7795","default"," 4422"," 7526","default"," 1146"," 3983","default"," 3170"," 4973","default"," 1837"," 3688","default"," 2516"," 4953","default"," 3465"," 5071","default"," 3286"," 6791","default"," 4012"," 7983","default"," 2088"," 6227","default"," 3298"," 9072","default"," 3204"," 8895","default"," 3426","11502","default"," 1596"," 9389","default"," 3542","10086","default","4272","17375","default","4030","8787","default","1483","6156","default"
"10514","14068","default"," 8628","11415","default"," 5236"," 7291","default"," 5490"," 8527","default"," 4957"," 9063","default"," 6188"," 8074","default"," 6353"," 8339","default"," 7860"," 8928","default"," 8467","10287","default"," 6760"," 9031","default","23326","25233","default"," 9780","10631","default","23753","31680","default"," 9889","12575","default","10804","16893","default","","","","","","","6589","7140","default"
"15120","16739","default","12116","13851","default"," 8291"," 9074","default","12750","15670","default","11049","14321","default"," 9812","11446","default"," 8940","10408","default","10129","11998","default","11338","12839","default","10717","11134","default","","","","12518","12985","default","","","","25577","27212","default","","","","","","","","","","","",""
"17524","19225","default","14302","15987","default","13380","14915","default","16254","18757","default","17524","18676","default","12981","16403","default","10759","12478","default","12566","14383","default","14358","15493","default","29508","30593","default","","","","14820","18591","default","","","","","","","","","","","","","","","","","",""
"20160","22540","default","18425","19711","default","15666","17719","default","19910","22797","default","23833","24618","default","26766","27066","default","13059","15346","default","14884","16085","default","17195","17946","default","","","","","","","18961","19527","default","","","","","","","","","","","","","","","","","",""
"","","","","","","18153","19255","default","23666","28388","default","","","","31406","31890","default","","","","17654","18756","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","20291","21509","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","23962","25415","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","26165","26866","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
