"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 1807"," 2421","default"," 4794"," 6125","default","1441","2455","default","6347","7311","default","2598","3364","default"," 8132"," 8730","default"," 6196"," 6995","default","","",""," 5449"," 6530","default","8477","9225","default"," 2948"," 3729","default"," 6341"," 7488","default","","","","","","","22093","22809","default","","",""," 8510"," 9041","default","","",""
" 9886","10285","default"," 8552"," 9999","default","3436","4201","default","8508","9622","default","7420","8883","default"," 9878","10493","default","11184","12016","default","","",""," 9606","10054","default","","",""," 9608","10463","default","15768","16650","default","","","","","","","23955","24621","default","","","","10986","18801","default","","",""
"48159","48425","default","10613","12292","default","6479","6927","default","","","","","","","12471","13287","default","","","","","","","13047","14794","default","","","","11228","12043","default","17880","18296","default","","","","","","","26283","26582","default","","","","19482","20796","default","","",""
"","","","","","","8590","9322","default","","","","","","","","","","","","","","","","18102","18367","default","","","","","","","22252","23100","default","","","","","","","","","","","","","","","","","",""
