"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
"10517","11342","default"," 7550"," 8084","default"," 7774"," 9017","default","2708","4487","default"," 3849"," 6568","default"," 2855"," 3459","default"," 3557"," 5083","default"," 3479"," 4505","default"," 3846"," 5355","default"," 4286"," 4571","default","5554","5808","default"," 6870"," 8178","default"," 3248"," 4087","default"," 6170"," 6775","default"," 5085"," 6980","default","3743","5104","default"," 3369"," 5451","default"," 5237"," 6763","default"
"14575","15330","default"," 8624"," 9923","default"," 9720","10592","default","4821","5307","default"," 8897","11042","default"," 7733"," 9125","default","11873","13046","default"," 5055"," 6333","default"," 8086","10131","default"," 5794"," 6063","default","6526","7634","default","13893","14148","default"," 5410"," 8142","default"," 7847"," 8320","default"," 9192","12598","default","7012","7400","default"," 8801","11115","default","10186","10349","default"
"16922","19305","default","10234","11660","default","12251","12520","default","5424","6246","default","11862","14493","default"," 9845","10600","default","","",""," 7151"," 8979","default","11959","13101","default"," 7403"," 8744","default","9293","9778","default","","","","12703","12971","default","10964","11471","default","13349","13719","default","","","","14634","17517","default","10466","10852","default"
"20744","23006","default","13017","13520","default","13391","17180","default","","","","14914","15552","default","11338","12192","default","","",""," 9631","10606","default","13819","14608","default","11243","11747","default","","","","","","","19677","20329","default","14701","20939","default","13988","14190","default","","","","","","","10954","11339","default"
"","","","14743","15162","default","19598","22027","default","","","","16423","17735","default","13752","14205","default","","","","18533","19707","default","16451","17441","default","12148","12418","default","","","","","","","20951","21386","default","","","","16031","16267","default","","","","","","","11975","13572","default"
"","","","16152","16892","default","","","","","","","18105","20078","default","14993","16670","default","","","","20729","20931","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","14858","15345","default"
"","","","21650","22539","default","","","","","","","21701","22524","default","18145","19083","default","","","","21165","22458","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","17555","18313","default"
"","","","22773","24569","default","","","","","","","22608","24789","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","25120","26881","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","27652","28555","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
