"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
"3046","7048","default"," 2113"," 3059","default"," 3289"," 5113","default"," 3367"," 9810","default"," 1360","13961","default"," 5267"," 6904","default"," 2005"," 9439","default","1546"," 7063","default"," 5376"," 7162","default","4661","7543","default","2207","7622","default","3270","9921","default"," 5536","20771","default"," 1553"," 3450","default","2301","17081","default","2616","7881","default"," 2605","14101","default","3644","8906","default"
"8642","9674","default"," 4687"," 8077","default"," 8915"," 9178","default","11040","12373","default","14847","17640","default"," 9445","10739","default","10713","13147","default","8765","13330","default"," 9936","12825","default","","","","","","","","","","21686","23782","default"," 6689"," 9534","default","","","","","","","15512","19398","default","","",""
"","",""," 9735","12035","default"," 9379"," 9953","default","13270","14463","default","20209","22564","default","12581","14078","default","14198","15575","default","","","","14468","19711","default","","","","","","","","","","24440","25220","default","22542","24073","default","","","","","","","","","","","",""
"","","","13447","14029","default","11614","14188","default","15244","17270","default","24348","26773","default","14958","16181","default","16381","18159","default","","","","","","","","","","","","","","","","25938","27843","default","","","","","","","","","","","","","","",""
"","","","15605","16419","default","15434","26883","default","18785","20110","default","","","","18022","19831","default","20450","21861","default","","","","","","","","","","","","","","","","28607","29537","default","","","","","","","","","","","","","","",""
"","","","","","","29060","31794","default","21987","24002","default","","","","21758","22500","default","23174","24273","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","24740","25254","default","","","","","","","27003","27665","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","26550","28875","default","","","","","","","29763","31155","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
