"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 3821"," 4845","default"," 5657"," 5958","default"," 5824"," 6729","default"," 2113"," 2381","default"," 5922"," 6493","default"," 2420"," 2673","default"," 4384"," 5255","default"," 4278"," 4580","default"," 2032"," 2619","default","3374","9528","default","6157","10787","default"," 7922","12787","default"," 3961","10973","default"," 5910"," 8040","default"," 3980"," 6095","default"," 4766"," 6159","default"," 5651","17074","default","3166","4156","default"
" 8400","11219","default"," 8961"," 9667","default","11526","12533","default"," 6340"," 7228","default"," 8689"," 9463","default"," 5977"," 6429","default"," 7403"," 7804","default"," 7483"," 7702","default"," 6762"," 7332","default","","","","","","","14296","15134","default","12247","13303","default","17046","17532","default","12484","14496","default","10722","12398","default","21720","22391","default","5583","8384","default"
"17910","18933","default","13657","14161","default","15819","16676","default"," 9476","10147","default","14527","14828","default"," 8375"," 9516","default"," 9046"," 9364","default"," 9714","10518","default"," 7561"," 8946","default","","","","","","","","","","15469","15887","default","","","","16794","18153","default","13941","17279","default","","","","","",""
"21164","22137","default","15653","16257","default","18521","19444","default","15095","15816","default","","","","12736","14615","default","10891","12182","default","14040","14778","default","11173","11827","default","","","","","","","","","","16742","17196","default","","","","19461","20383","default","22143","23821","default","","","","","",""
"","","","16442","17464","default","23351","23654","default","17392","18719","default","","","","","","","19849","20619","default","18602","19676","default","","","","","","","","","","","","","24122","24289","default","","","","","","","24474","25682","default","","","","","",""
"","","","","","","24827","25079","default","20848","21117","default","","","","","","","22347","23285","default","","","","","","","","","","","","","","","","24424","26051","default","","","","","","","","","","","","","","",""
"","","","","","","","","","29251","30493","default","","","","","","","","","","","","","","","","","","","","","","","","","27578","28734","default","","","","","","","","","","","","","","",""
