"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
"10133","17529","default","17736","18485","default","17658","21756","default","20888","24519","default","14955","20620","default","14917","15384","default","15846","16862","default"," 6429"," 7379","default","14072","16738","default","9191","18121","default"," 2387"," 2569","default","12171","17452","default","12910","13094","default"," 6724"," 6939","default"," 5537","17784","default","4952"," 5352","default"," 2852","12433","default"," 4356","21301","default"
"21579","22495","default","22338","24269","default","24724","27440","default","26052","28935","default","22619","24052","default","17566","21782","default","18796","20512","default","15375","16325","default","26935","29284","default","","",""," 2936"," 4236","default","","","","13394","19257","default"," 9538"," 9771","default","25898","28780","default","7652","23613","default","23978","27295","default","28868","29985","default"
"26310","27076","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","10118","15866","default","","","","27304","29987","default","12404","23171","default","","","","","","","","","","","",""
