"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 1146"," 7711","default"," 2390"," 3225","default"," 2529"," 3112","default"," 3740"," 5190","default"," 5253"," 7570","default"," 5974"," 8925","default"," 8040"," 8556","default"," 2172"," 6005","default"," 4119"," 5001","default"," 1069"," 6552","default"," 2238"," 4171","default"," 3914"," 4331","default"," 2884"," 3651","default"," 1906"," 2124","default"," 1691","16174","default"," 3425"," 6508","default"," 2992"," 3942","default"," 4581"," 6381","default"
" 8661"," 9512","default"," 5790"," 6791","default"," 4029"," 4531","default"," 6007"," 8491","default"," 8053"," 9303","default","12523","13306","default"," 9339","10873","default"," 6805"," 7822","default"," 5785"," 6169","default"," 7034"," 8885","default"," 4355"," 8971","default"," 4415"," 6864","default"," 4884"," 5050","default"," 2256"," 2708","default","16607","18290","default"," 6891"," 7525","default"," 4092"," 5842","default"," 7664"," 8265","default"
"10644","11645","default"," 8691"," 9558","default"," 4929"," 5847","default"," 9891","10757","default","12052","12669","default","14474","15131","default","10940","11240","default"," 8157"," 9823","default"," 7484"," 8351","default"," 9569","16868","default"," 9688","10170","default"," 8047","11897","default"," 5119"," 8667","default"," 4523"," 8540","default","19390","24057","default"," 7875"," 8791","default"," 6559"," 7943","default"," 8832","11848","default"
"11911","12277","default"," 9975","10274","default"," 7046"," 8379","default","11157","11690","default","13319","14154","default","17074","17741","default","12389","13257","default","10488","10989","default"," 9318","10334","default","22352","24852","default","10739","21487","default","12464","17314","default"," 9251"," 9501","default"," 8991","15607","default","25141","28424","default"," 9258","12308","default"," 8342","12626","default","12231","29998","default"
"13011","14928","default","11592","11991","default"," 8829","10329","default","13174","13674","default","19886","20588","default","29057","29624","default","14224","16940","default","12189","12888","default","11251","11501","default","25835","27251","default","22421","25871","default","17831","20863","default","10284","13785","default","17273","18608","default","","","","15975","19340","default","16559","17058","default","","",""
"17194","18078","default","12424","13957","default","11096","12396","default","14007","15141","default","22154","22803","default","","","","18623","19706","default","14405","15021","default","12318","15151","default","","","","26721","28271","default","","","","14917","30001","default","21608","24874","default","","","","19741","30041","default","19608","21159","default","","",""
"18844","19494","default","15441","16224","default","14447","15446","default","16191","16975","default","23686","25702","default","","","","21756","23073","default","17555","18455","default","16402","16901","default","","","","","","","","","","","","","25389","30007","default","","","","","","","23225","24292","default","","",""
"21511","22078","default","17658","18891","default","15680","16412","default","17907","18141","default","27236","27736","default","","","","23741","24273","default","19355","19755","default","18052","18334","default","","","","","","","","","","","","","","","","","","","","","","26226","26459","default","","",""
"24145","24928","default","20124","20775","default","16912","17313","default","18657","20807","default","29053","30003","default","","","","25106","26789","default","20256","21355","default","18668","19001","default","","","","","","","","","","","","","","","","","","","","","","28293","28609","default","","",""
"25379","25679","default","21991","23125","default","17796","18213","default","21073","21623","default","","","","","","","27541","27840","default","22155","23739","default","19567","21300","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25711","26761","default","23858","24992","default","19163","19812","default","23557","24624","default","","","","","","","29441","30006","default","24340","24506","default","23300","23951","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","25643","26408","default","20380","21963","default","25473","26041","default","","","","","","","","","","26105","27605","default","25384","26017","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","27324","27857","default","22413","22846","default","26724","27157","default","","","","","","","","","","28072","28305","default","26468","28301","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","25779","26879","default","28190","28673","default","","","","","","","","","","","","","29418","29884","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","27213","29446","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
