"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 7730","10646","default"," 9346","11063","default"," 6063"," 8347","default"," 9909","11242","default"," 7937"," 9137","default","4171"," 7871","default"," 6557"," 8390","default"," 8727","10377","default","14716","17416","default"," 3139"," 3805","default"," 7858","10841","default","5262","7130","default"," 6888"," 9922","default","10583","11583","default","10054","11904","default"," 8646"," 9345","default","9920","11853","default"," 8281"," 8514","default"
"11062","11412","default","11678","14712","default","10797","15430","default","12693","15410","default","10254","10837","default","8489","11604","default","10291","13357","default","11961","13444","default","18049","21798","default"," 7054"," 7405","default","12891","13991","default","","","","11621","13556","default","13699","14050","default","12403","13621","default","13195","13962","default","","",""," 8747","11230","default"
"13846","17230","default","15812","19262","default","18429","20213","default","16592","16843","default","12004","12987","default","","","","","","","20044","21194","default","24332","29233","default","16290","17038","default","","","","","","","17256","18640","default","28016","28283","default","14220","14937","default","15594","17644","default","","","","11998","16198","default"
"","","","19663","20613","default","","","","17309","20227","default","14537","17037","default","","","","","","","","","","","","","","","","","","","","","","19339","20472","default","","","","18520","19271","default","21428","22396","default","","","","","",""
"","","","22162","22762","default","","","","21460","23326","default","17487","19837","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","22103","23838","default","23545","24728","default","","","","","",""
"","","","","","","","","","29092","30010","default","20289","21487","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29495","29996","default","","","","","",""
