"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
"11315","12032","default"," 6275"," 6525","default","","",""," 9041"," 9858","default"," 8754","10688","default"," 7709"," 8010","default"," 9551","10333","default"," 7129"," 8813","default"," 5805"," 6204","default"," 6048","18514","default"," 5060","16427","default","3616","12632","default"," 5126"," 7376","default","3949","21465","default"," 4604"," 6638","default","4271","21669","default","7439","10756","default"," 3531","10230","default"
"13765","14699","default"," 8457"," 9391","default","","","","10708","11776","default","11438","13671","default","10610","10859","default","12267","14418","default"," 9895","11130","default","12072","12405","default","19115","21515","default","19793","21177","default","","",""," 9493"," 9876","default","","",""," 7988"," 8720","default","","","","","","","12147","12480","default"
"","","","12574","13758","default","","","","12792","13325","default","15554","19888","default","19893","20143","default","16650","18217","default","12813","13478","default","","","","","","","24494","26909","default","","","","11443","12009","default","","",""," 9370"," 9703","default","","","","","","","16463","18030","default"
"","","","17507","17957","default","","","","16008","16241","default","20453","23786","default","22692","22910","default","21883","22149","default","","","","","","","","","","","","","","","","13476","14093","default","","","","10771","11021","default","","","","","","","19180","19448","default"
"","","","20607","21325","default","","","","","","","26053","27436","default","","","","","","","","","","","","","","","","","","","","","","14709","15095","default","","","","12687","13104","default","","","","","","","","",""
"","","","22274","23174","default","","","","","","","29237","30037","default","","","","","","","","","","","","","","","","","","","","","","16026","16376","default","","","","14070","15021","default","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17027","17277","default","","","","16270","17420","default","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17959","18442","default","","","","22120","23153","default","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21943","23776","default","","","","23837","24519","default","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25076","30025","default","","","","","","","","","","","","","","",""
