"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 2828"," 3528","default"," 3377"," 3627","default"," 3138"," 3688","default"," 1751"," 2268","default","  961"," 1944","default"," 4073"," 4573","default"," 1977"," 2260","default"," 1165"," 1481","default"," 4690"," 5573","default","1714","4097","default"," 9319","10102","default"," 2605"," 4705","default","2471","2722","default"," 1695"," 3562","default"," 1375"," 8991","default"," 1159"," 1609","default","2737","4870","default"," 5943"," 6794","default"
" 4245"," 4545","default"," 5077"," 6160","default"," 4088"," 4988","default"," 5451"," 5784","default"," 4177"," 4361","default"," 5456"," 6290","default"," 2927"," 3160","default"," 4881"," 5398","default"," 6457"," 6823","default","4414","4680","default","10769","12718","default"," 6238"," 6588","default","3738","7071","default"," 4811"," 6029","default"," 9474"," 9909","default"," 1909"," 2176","default","5320","5886","default"," 7560"," 9209","default"
" 4778"," 5111","default"," 7343"," 9160","default"," 5455"," 5988","default"," 6684"," 7484","default"," 4492"," 5744","default"," 6790"," 7107","default"," 3327"," 3527","default"," 5848"," 6481","default","11704","13454","default","4730","5114","default","13052","14885","default"," 6938"," 7271","default","8705","9055","default"," 7961"," 8528","default","10675","11572","default"," 2526"," 2859","default","7653","8386","default"," 9959","10393","default"
" 5778"," 6462","default"," 9726","10726","default"," 6471"," 7021","default"," 8084"," 8567","default"," 5961"," 6977","default"," 7623"," 8439","default"," 4643"," 4894","default"," 7281"," 7948","default","15854","16404","default","5947","6380","default","","",""," 8871"," 9821","default","","",""," 9462"," 9745","default","14025","14258","default"," 3993"," 4976","default","","","","14742","15359","default"
" 6945"," 7345","default","11377","11809","default"," 7404"," 7771","default","10067","10684","default"," 7411"," 8227","default"," 9806","10106","default"," 5876"," 6677","default"," 8498"," 8814","default","17638","17937","default","6780","7582","default","","","","16021","16771","default","","","","10462","12145","default","14708","15308","default"," 5542"," 6326","default","","","","","",""
" 7879"," 9145","default","12593","14144","default"," 8238"," 8571","default","11401","12017","default"," 8761"," 9460","default","13106","13672","default"," 7510"," 8126","default"," 9481"," 9917","default","19704","19887","default","8647","9030","default","","","","17488","17771","default","","","","14595","15712","default","19092","19391","default"," 7226"," 8625","default","","","","","",""
" 9662","10412","default","14560","15244","default"," 9105"," 9339","default","19651","20434","default","14928","16028","default","17472","17689","default"," 8660"," 9543","default","12165","14865","default","","","","","","","","","","20638","20955","default","","","","20178","21461","default","25222","25388","default","10443","10775","default","","","","","",""
"11862","12495","default","18943","19677","default"," 9472"," 9922","default","23151","23684","default","18394","18578","default","18556","18872","default","13593","14509","default","15432","15931","default","","","","","","","","","","22404","25004","default","","","","21961","23961","default","26005","26188","default","","","","","","","","",""
"13095","13395","default","","","","10389","10855","default","","","","19278","19961","default","23423","23939","default","17410","17977","default","16881","17131","default","","","","","","","","","","26071","27454","default","","","","25494","26028","default","26454","26654","default","","","","","","","","",""
"24345","25295","default","","","","","","","","","","22610","23144","default","","","","19477","19943","default","17648","18482","default","","","","","","","","","","","","","","","","26444","27479","default","","","","","","","","","","","",""
"25829","26315","default","","","","","","","","","","23411","24094","default","","","","20960","21893","default","18916","19498","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27095","27303","default","","","","","","","","","","25027","26027","default","","","","24793","25759","default","22932","23731","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","29961","30294","default","","","","","","","25314","26215","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","26947","27547","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
