"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 1451"," 3082","default"," 1597"," 2979","default"," 5323"," 6023","default"," 4955"," 6204","default"," 2158"," 4039","default"," 6907"," 7690","default"," 6732"," 7500","default"," 1796"," 2695","default"," 7415"," 8297","default","6710","14387","default"," 9576","10158","default","10221","12102","default","12204","16802","default","14686","15100","default"," 2855"," 3105","default"," 8080","13310","default","10825","17172","default","3581","9725","default"
" 4248"," 5181","default"," 8292"," 9125","default"," 7056"," 7804","default","10617","11350","default"," 5205"," 5587","default"," 8389"," 9140","default"," 8497"," 9631","default"," 5209"," 5991","default"," 9763","11161","default","","","","14007","16953","default","","","","21380","23346","default","17481","18097","default"," 4004"," 6320","default","18257","21357","default","18320","23216","default","","",""
" 9461","10343","default","10091","11406","default"," 8021"," 8953","default","14463","15014","default"," 7852"," 8752","default","11687","11903","default","12827","13494","default"," 7290"," 7591","default","13727","14291","default","","","","","","","","","","25277","26776","default","20312","27640","default"," 8368","10581","default","25683","30180","default","","","","","",""
"13507","14423","default","12821","13187","default"," 9885","10453","default","","","","12765","12998","default","12286","12720","default","16207","16491","default","11802","12102","default","25384","26017","default","","","","","","","","","","","","","28155","28939","default","11930","13796","default","","","","","","","","",""
"17005","17639","default","18367","18835","default","21393","21576","default","","","","14263","14948","default","14003","14302","default","16924","17173","default","14033","14367","default","","","","","","","","","","","","","","","","30053","30253","default","14845","15261","default","","","","","","","","",""
"19253","19969","default","19942","20282","default","22775","23091","default","","","","17444","18195","default","20945","21114","default","","","","15116","15299","default","","","","","","","","","","","","","","","","","","","26435","30000","default","","","","","","","","",""
"22350","22966","default","25678","26110","default","","","","","","","24388","24922","default","23545","24026","default","","","","16032","16348","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","27535","28600","default","25377","25827","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","29568","29983","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
