"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 3113"," 5065","default"," 1507"," 1754","default","  844"," 3947","default"," 2177"," 2643","default"," 1269"," 4538","default"," 1216"," 3601","default"," 1303"," 6442","default","  981"," 3232","default","  986"," 4255","default"," 2276"," 8681","default"," 2976"," 3243","default","  866"," 3636","default"," 2128"," 8166","default"," 1544"," 4613","default"," 1471","10863","default"," 1351"," 6773","default"," 2687"," 3638","default"," 1264"," 2199","default"
" 5482"," 7517","default"," 1788"," 2187","default"," 4464"," 6149","default"," 4228"," 8098","default"," 4888"," 8275","default"," 5135"," 7470","default"," 7526"," 9610","default"," 4333"," 6251","default"," 4806"," 6074","default","21741","26845","default"," 4778"," 5746","default"," 5203","11460","default"," 8550","14255","default"," 4914"," 5180","default","11364","14616","default"," 7223"," 8791","default"," 5173"," 9460","default"," 2348"," 3600","default"
" 8251","10887","default"," 2372"," 3105","default"," 8218"," 9618","default"," 9850","12169","default","12312","13062","default"," 8489"," 8889","default","10078","12012","default"," 6602"," 8203","default","11128","12012","default","","",""," 6397"," 6596","default","12343","12612","default","15856","16391","default"," 6949"," 9884","default","22023","22406","default","14846","15998","default","14063","15630","default"," 3884"," 9087","default"
"12854","15273","default"," 3339"," 5859","default","14941","17560","default","13887","14870","default","","",""," 9958","11459","default","13196","14148","default","12474","14191","default","13046","13830","default","","",""," 7164"," 8547","default","","","","18426","18709","default","10252","15373","default","25242","25627","default","16281","18250","default","16098","18618","default","12491","16878","default"
"15640","17558","default"," 6226"," 8478","default","19527","20946","default","16439","16839","default","","","","22718","22952","default","18017","20837","default","14608","15160","default","16899","17233","default","","",""," 8615"," 8832","default","","","","19009","20043","default","19777","20143","default","26260","26476","default","","","","22354","22687","default","","",""
"20712","21097","default"," 8761"," 9845","default","22196","23631","default","18523","19142","default","","","","","","","21904","22171","default","17829","18361","default","","","","","","","18507","18707","default","","","","25214","27823","default","20544","28834","default","","","","","","","22771","23105","default","","",""
"23247","23814","default","10179","11046","default","24316","28736","default","21010","21710","default","","","","","","","","","","20614","21181","default","","","","","","","20325","21109","default","","","","","","","29151","30319","default","","","","","","","26323","26689","default","","",""
"27968","28385","default","11313","12464","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","12681","14098","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","14316","16134","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","16534","18602","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
