"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
"2428","2995","default"," 3165"," 4248","default"," 5873"," 6271","default"," 1819"," 2269","default"," 4462"," 4896","default"," 4590"," 5040","default"," 3506"," 3872","default"," 5407"," 7607","default"," 6736"," 7869","default"," 6822"," 7007","default"," 6616"," 7016","default","","",""," 4532"," 4916","default","10696","10896","default"," 4548"," 4752","default","23531","23813","default","5348","5664","default","","",""
"7161","7611","default"," 8749"," 9316","default"," 7640"," 8238","default"," 6053"," 6253","default","10597","11246","default","10923","11340","default"," 4254"," 5405","default","12558","12758","default"," 9353"," 9719","default","11639","11807","default","14650","14848","default","","","","27448","27631","default","24329","24496","default","12148","12382","default","26348","26514","default","","","","","",""
"","","","11314","11497","default"," 9622"," 9873","default"," 8469"," 8737","default","17463","17697","default","12773","13141","default"," 8772"," 9222","default","15257","15657","default","14453","15169","default","13322","13506","default","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","21614","21831","default","12022","12256","default","29701","29885","default","","","","16040","16373","default","15055","15606","default","22875","23191","default","17086","17602","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","16089","16656","default","","","","","","","","","","20905","21754","default","24507","24840","default","25968","26236","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","19522","20039","default","","","","","","","","","","29705","30004","default","26224","26540","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
