"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 2725"," 3111","default"," 3004"," 7152","default"," 5674","11713","default"," 5420","14954","default"," 4494","16671","default"," 3545","16490","default"," 3191","13761","default"," 3962","11087","default"," 3600"," 3799","default","4492","11315","default"," 2489"," 9380","default","3849","22849","default"," 5208","20213","default"," 3047","16545","default"," 6261","17468","default"," 3170","13641","default"," 3362"," 8798","default","6765","16582","default"
" 3628"," 5451","default"," 9494","14159","default","12263","20676","default","15891","27499","default","17673","27893","default","17176","29100","default","14279","18026","default","17125","23665","default"," 4937","17531","default","","","","17508","19833","default","","","","20763","24075","default","18769","24908","default","18239","28039","default","19210","28827","default","19083","21726","default","","",""
" 7760","20871","default","14811","20765","default","21263","25662","default","28066","30308","default","28662","30117","default","29586","30255","default","","","","24217","30255","default","20625","25626","default","","","","20234","22494","default","","","","","","","29674","30143","default","","","","","","","22612","23549","default","","",""
"24468","30272","default","21569","29430","default","","","","","","","","","","","","","","","","","","","29106","29272","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","29440","30260","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
