"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 6346"," 7146","default"," 5977"," 8911","default","5077"," 7177","default"," 9682","11166","default"," 3532"," 4998","default"," 6017"," 7518","default","4640","5956","default"," 6011"," 6744","default"," 9340"," 9508","default","5040","23877","default","2061","7195","default","2687","14890","default","8419","13271","default"," 2839","15808","default","3385","15838","default","4345"," 8299","default"," 7830","16099","default","6294","13127","default"
" 8896"," 9596","default","12495","14429","default","9412","10261","default","12582","13416","default"," 5699"," 6749","default","11686","12902","default","6824","7390","default","13245","14397","default"," 9674","12392","default","","","","","","","","","","","","","16309","18310","default","","","","8713","10247","default","17749","25317","default","","",""
"12114","13347","default","16063","17246","default","","","","16267","17384","default"," 8082","10016","default","27439","27706","default","","","","","","","18910","19676","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15548","17465","default","21630","22180","default","","","","","","","18638","20135","default","29407","30107","default","","","","","","","21393","22644","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18565","19715","default","23597","24048","default","","","","","","","21619","22969","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20365","20933","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21901","22583","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
