"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 1426"," 8642","default"," 4643"," 9126","default"," 4319"," 9018","default"," 3376"," 7942","default"," 1684","12235","default","13266","13948","default"," 2704"," 3122","default"," 3689"," 7959","default"," 6976","10577","default"," 3346"," 3762","default","4638","10905","default","3006"," 4591","default"," 3429","13210","default"," 5850"," 6443","default"," 2477"," 4338","default"," 2331","11231","default","1040","4953","default","1350"," 4433","default"
" 9360","15226","default","10309","11926","default","12587","18251","default"," 9027","11092","default","12688","13407","default","27519","28197","default"," 4536"," 5087","default"," 8538","12540","default","12101","14261","default"," 4562"," 5062","default","","","","5274"," 6041","default","17695","19010","default"," 7742"," 8226","default"," 5254"," 5505","default","12377","18847","default","","","","4733","14882","default"
"16410","19315","default","15376","18542","default","22735","31384","default","21409","22094","default","","","","29749","30782","default"," 6518"," 8371","default","13523","17726","default","17243","18059","default"," 6061"," 6562","default","","","","9158","11540","default","","",""," 9743","13660","default"," 6404","15821","default","19414","19662","default","","","","","",""
"19709","22375","default","27960","28943","default","","","","23541","24276","default","","","","","","","11289","12386","default","30304","30738","default","21859","22242","default"," 7928","13961","default","","","","","","","","","","15008","16858","default","18937","25641","default","20597","32079","default","","","","","",""
"","","","29775","31542","default","","","","","","","","","","","","","14052","16601","default","","","","23326","23725","default","16077","16695","default","","","","","","","","","","20743","23042","default","28220","30472","default","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","18937","19819","default","","","","26093","26508","default","17710","19445","default","","","","","","","","","","26092","27392","default","31237","31904","default","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","20719","21285","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","22384","23136","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","24835","25234","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","30134","30569","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
