"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
"4746","5530","default","4776","5960","default"," 1942"," 3459","default"," 2010"," 2794","default"," 908","1708","default","4100","4800","default"," 2474"," 3490","default","4530","5383","default","10025","10693","default"," 1232"," 8888","default","3665"," 3916","default","3084","4168","default","2597","6502","default"," 1572"," 7663","default"," 2712"," 7833","default","2208","7663","default","6773","8208","default"," 1905"," 6076","default"
"6231","6999","default","7312","8046","default"," 4343"," 5561","default"," 3493"," 4696","default","3243","4380","default","6017","6668","default"," 3958"," 4724","default","6165","7268","default","11042","11943","default"," 9605","10207","default","4032","10038","default","5102","7204","default","6602","7002","default"," 8864"," 9281","default","10803","11154","default","","","","8809","9025","default","29800","30016","default"
"","","","","","","21994","22228","default","29620","29820","default","8247","9116","default","8220","9172","default","23193","23360","default","","","","13978","14380","default","11241","11557","default","","","","","","","","",""," 9897","10966","default","11654","11954","default","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","23877","24077","default","","","","","","","13127","15596","default","","","","","","","","","","12484","12767","default","12687","12939","default","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13151","13601","default","13306","13539","default","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13818","14069","default","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15353","15554","default","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17304","17556","default","","","","","","","","","","","",""
