"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 3700"," 4320","default"," 4430"," 4914","default"," 5309"," 6125","default"," 8477"," 9178","default"," 1593"," 1811","default"," 9336"," 9618","default"," 2611"," 3578","default"," 4566"," 4850","default"," 5606"," 6609","default"," 3374"," 4193","default","3977","11058","default","2332","15892","default"," 2026"," 6318","default"," 1110"," 7857","default"," 2890"," 3642","default","4684","19779","default","3083"," 4903","default"," 1260"," 3698","default"
" 5405"," 6122","default"," 6050"," 6316","default"," 7361"," 9099","default","11884","12952","default"," 3280"," 4264","default","11356","11657","default"," 4179"," 5799","default"," 6637"," 8940","default"," 7877"," 8395","default"," 7148"," 8250","default","","","","","",""," 6886"," 8239","default"," 8191"," 9426","default"," 6013"," 7650","default","","","","5605"," 7074","default"," 5151"," 6154","default"
" 8860"," 9062","default"," 9889","10176","default","11853","12688","default","16810","17561","default"," 6018"," 6752","default","12992","13377","default"," 6567"," 7519","default","10060","10427","default","10966","12503","default"," 8935","12843","default","","","","","",""," 8623"," 9858","default","10061","10712","default"," 8768","11189","default","","","","8276"," 9077","default"," 8222"," 9024","default"
"11366","11700","default","10709","11977","default","14509","15193","default","19432","20317","default"," 8156","12631","default","15781","16383","default"," 8218"," 8553","default","10511","11412","default","14523","15007","default","13460","15416","default","","","","","","","10476","13415","default","11379","14418","default","11773","12942","default","","","","9578","15090","default"," 9525","10611","default"
"13486","13972","default","12412","13197","default","16712","17230","default","22636","22905","default","15018","15418","default","17936","18303","default","11977","13380","default","17389","17757","default","16143","16410","default","","","","","","","","","","14467","19360","default","14785","17908","default","13594","14496","default","","","","","","","11111","13600","default"
"15591","15992","default","14298","15134","default","","","","23639","23940","default","17204","17772","default","19454","21676","default","26253","27171","default","19578","20062","default","17461","17762","default","","","","","","","","","","20027","20812","default","19061","20731","default","15414","16216","default","","","","","","","14099","15653","default"
"20750","21869","default","16136","16303","default","","","","25342","25743","default","19177","19609","default","22059","25734","default","27640","29208","default","","","","19332","21151","default","","","","","","","","","","22349","22765","default","21230","30066","default","16767","22978","default","","","","","","","16388","20546","default"
"22721","23105","default","16453","16870","default","","","","28365","28699","default","22048","22332","default","","","","","","","","","","22721","23322","default","","","","","","","","","","23734","30062","default","","","","23528","25082","default","","","","","","","","",""
"25276","25827","default","17856","18323","default","","","","","","","23051","23902","default","","","","","","","","","","25177","25494","default","","","","","","","","","","","","","","","","26001","27435","default","","","","","","","","",""
"26293","26677","default","20210","20711","default","","","","","","","29194","29429","default","","","","","","","","","","28199","29033","default","","","","","","","","","","","","","","","","28005","30058","default","","","","","","","","",""
"27228","27663","default","21529","21746","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","23015","24668","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","27507","27874","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","29377","29794","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
