"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
"12770","13891","default","10730","13093","default","11780","12651","default"," 3933"," 5076","default"," 2338"," 7033","default"," 3900"," 4924","default"," 4739"," 7321","default","12275","15678","default"," 9634","10312","default"," 4541"," 6970","default"," 4153"," 9470","default"," 3662"," 7400","default","4074"," 8292","default"," 3786"," 5076","default"," 2062"," 3675","default"," 1540"," 4194","default","1687"," 4467","default","4130"," 6796","default"
"16221","19002","default","14400","16429","default","13965","15116","default","12316","16996","default","10118","12415","default"," 5892"," 7304","default","12918","17926","default","16433","19381","default","11880","15787","default"," 7401","10542","default","12676","19788","default","12471","14210","default","9243","14242","default","12629","14834","default"," 4384","11211","default"," 8135","10598","default","5067","11910","default","7746","14486","default"
"19791","20377","default","17302","18954","default","19195","20948","default","17771","18251","default","13354","14880","default","11496","14782","default","19477","22241","default","31618","33853","default","19611","20968","default","12426","17982","default","","","","","","","","","","18119","22714","default","12316","12600","default","11739","18230","default","","","","","",""
"","","","28605","30362","default","22408","24062","default","","","","15902","20915","default","17800","18450","default","","","","35027","36888","default","","","","19663","22977","default","","","","","","","","","","","","","12968","16820","default","22902","26055","default","","","","","",""
"","","","33615","35291","default","25076","25822","default","","","","22692","25023","default","20399","21789","default","","","","37642","39124","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","36572","38209","default","28987","30579","default","","","","27876","30271","default","23871","25194","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","38761","39840","default","32686","35355","default","","","","","","","26159","27675","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
