"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 3979"," 4809","default"," 7180"," 9780","default"," 7355"," 8206","default"," 2944"," 3593","default","4483","4733","default","2009","2943","default","2910","3330","default","5586"," 5868","default","5161","5660","default","","","","9643","11660","default","7486","8635","default","4066","4450","default","5132","6281","default","2660","5477","default"," 5434"," 6334","default","8352","9402","default"," 5008"," 6074","default"
" 8241"," 9208","default","11530","12130","default","10004","10487","default"," 6312"," 6496","default","5017","5581","default","","","","","","","7986"," 8185","default","7443","7977","default","","","","","","","","","","","","","","","","","",""," 9584","10168","default","","","","10091","10408","default"
"10441","10941","default","","","","25420","26203","default"," 6878"," 7679","default","6584","7217","default","","","","","","","9668","10335","default","","","","","","","","","","","","","","","","","","","","","","11068","12434","default","","","","12742","13441","default"
"","","","","","","28037","28254","default","15944","16178","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17817","18317","default","","","","","",""
"","","","","","","","","","17828","18495","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","25728","26328","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
