"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 4711"," 5681","default"," 6117"," 6502","default"," 2933"," 3384","default"," 4291"," 5529","default"," 7598"," 8283","default"," 5888"," 6422","default"," 1588"," 2334","default"," 2202"," 4024","default"," 3521"," 4117","default","2152","4392","default","1797"," 4688","default"," 3033"," 9132","default"," 1988"," 7854","default"," 3473"," 7567","default"," 1907"," 7189","default"," 2096"," 7778","default"," 1308"," 1862","default"," 5789","10100","default"
" 6767"," 7972","default","12769","13137","default"," 4938"," 5724","default","12497","17845","default"," 9621","10406","default"," 7476"," 7927","default"," 4265"," 6250","default"," 5278"," 6832","default"," 5549"," 5905","default","5027","7149","default","6008","10554","default","10038","10286","default"," 8890","12148","default","10910","13600","default"," 8942"," 9945","default"," 8463"," 8931","default"," 5687"," 9213","default","12139","14261","default"
"14305","14872","default","","",""," 8547"," 8764","default","29344","29977","default","18059","18477","default"," 8595","13893","default"," 8573"," 9392","default"," 9338"," 9856","default","11520","12373","default","","","","","","","","","","14388","14923","default","14318","16208","default","11031","12298","default"," 9181","10301","default","10600","16182","default","28967","29620","default"
"15781","16092","default","","",""," 8848"," 9350","default","","","","19647","20366","default","19675","19927","default","11063","11715","default","14101","14670","default","13810","14211","default","","","","","","","","","","16393","18600","default","19200","20052","default","21059","23465","default","19894","21949","default","22315","24839","default","","",""
"30314","30832","default","","","","11873","12074","default","","","","28890","29240","default","","","","14054","15426","default","22692","23259","default","17385","17887","default","","","","","","","","","","20287","21624","default","27220","28240","default","24703","25487","default","","","","","","","","",""
"","","","","","","16251","16636","default","","","","","","","","","","17497","17865","default","","","","20745","20945","default","","","","","","","","","","22561","22861","default","28607","30797","default","27275","29665","default","","","","","","","","",""
"","","","","","","17722","18240","default","","","","","","","","","","20388","20756","default","","","","22567","23085","default","","","","","","","","","","27189","30399","default","","","","","","","","","","","","","","",""
"","","","","","","24624","26095","default","","","","","","","","","","23414","24449","default","","","","28349","29151","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","29822","30423","default","","","","","","","","","","29179","30081","default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
