"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 3679"," 6563","default"," 3055"," 4255","default","2078","2844","default"," 1295"," 2728","default","3550"," 4884","default"," 6865"," 9198","default","1043","4727","default","2245"," 3845","default","13168","14452","default","2297","8830","default","2177","2860","default","2349"," 3232","default"," 3383"," 6300","default","3742","13658","default"," 2955"," 9939","default"," 2834","11284","default"," 564","1847","default","2114","10648","default"
" 7513"," 8546","default"," 5738"," 7138","default","3978","4894","default"," 6678"," 8278","default","5951"," 6535","default","10181","10597","default","5310","5960","default","4728"," 5678","default","16135","17168","default","","","","3645","4377","default","6866","11917","default"," 7833","12050","default","","","","10622","11755","default","13468","15101","default","2401","8731","default","","",""
"15363","16096","default"," 7622"," 9904","default","5744","7294","default"," 9278","10861","default","8801","10585","default","12314","12697","default","7660","9243","default","7545"," 8845","default","18851","19318","default","","","","7443","9911","default","","","","13700","14450","default","","","","","","","","","","","","","","",""
"17230","17879","default","11388","12188","default","","","","11628","12111","default","","","","13531","13797","default","","","","9278","10411","default","20268","20986","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","16688","18221","default","","","","","","","","","","","","","","","","","","","23835","25002","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","18888","19438","default","","","","","","","","","","","","","","","","","","","25619","27668","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
