"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 4767"," 7501","default"," 6291"," 9658","default","","","","11785","15069","default","","",""," 8510","11093","default"," 4645"," 9679","default"," 1312","11167","default","3951","11153","default"," 4153"," 5475","default"," 4024","11032","default","2621","6223","default"," 5067"," 6377","default"," 4935"," 7141","default"," 5041"," 9042","default"," 2513"," 7913","default"," 3654"," 4984","default"," 2458","10207","default"
"10800","11849","default","12307","13588","default","","","","","","","","","","17243","17692","default","15610","16109","default","14117","17633","default","","",""," 6957"," 8324","default","11865","14331","default","","","","12627","14244","default"," 8200","11065","default","12758","15306","default"," 9648","11912","default","11815","13249","default","10922","13756","default"
"13682","14349","default","","","","","","","","","","","","","","","","16293","20994","default","25015","26965","default","","","","11440","12355","default","","","","","","","17893","18648","default","21281","24397","default","20156","21539","default","15226","17278","default","28232","29212","default","","",""
"16115","17548","default","","","","","","","","","","","","","","","","","","","27448","29397","default","","","","","","","","","","","","","22924","23877","default","","","","","","","","","","34545","35046","default","","",""
