w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,4286,4571,"c",0,10517,11342,"c",0,5554,5808,"c",0,7550,8084,"c",0,6870,8178,"l",0,7774,9017,"c",0,3248,4087,"c",0,2708,4487,"e",0,6170,6775,"c",0,3849,6568,"c",0,5085,6980,"c",0,2855,3459,"c",0,3743,5104,"e",0,3557,5083,"c",0,3369,5451,"e",0,3479,4505,"c",0,5237,6763,"c",0,3846,5355,"c",
1,5794,6063,"c",1,14575,15330,"c",1,6526,7634,"c",1,8624,9923,"c",1,13893,14148,"l",1,9720,10592,"c",1,5410,8142,"e",1,4821,5307,"c",1,7847,8320,"l",1,8897,11042,"c",1,9192,12598,"e",1,7733,9125,"c",1,7012,7400,"e",1,11873,13046,"c",1,8801,11115,"e",1,5055,6333,"k",1,10186,10349,"c",1,8086,10131,"c",
2,7403,8744,"k",2,16922,19305,"e",2,9293,9778,"c",2,10234,11660,"u",,,,,2,12251,12520,"c",2,12703,12971,"e",2,5424,6246,"e",2,10964,11471,"u",2,11862,14493,"u",2,13349,13719,"c",2,9845,10600,"c",,,,,,,,,2,14634,17517,"e",2,7151,8979,"c",2,10466,10852,"k",2,11959,13101,"c",
3,11243,11747,"c",3,20744,23006,"e",,,,,3,13017,13520,"c",,,,,3,13391,17180,"e",3,19677,20329,"e",,,,,3,14701,20939,"e",3,14914,15552,"u",3,13988,14190,"c",3,11338,12192,"c",,,,,,,,,,,,,3,9631,10606,"c",3,10954,11339,"c",3,13819,14608,"c",
4,12148,12418,"c",,,,,,,,,4,14743,15162,"c",,,,,4,19598,22027,"e",4,20951,21386,"e",,,,,,,,,4,16423,17735,"u",4,16031,16267,"c",4,13752,14205,"c",,,,,,,,,,,,,4,18533,19707,"c",4,11975,13572,"u",4,16451,17441,"t",
,,,,,,,,,,,,5,16152,16892,"e",,,,,,,,,,,,,,,,,,,,,5,18105,20078,"u",,,,,5,14993,16670,"c",,,,,,,,,,,,,5,20729,20931,"c",5,14858,15345,"l",,,,,
,,,,,,,,,,,,6,21650,22539,"e",,,,,,,,,,,,,,,,,,,,,6,21701,22524,"u",,,,,6,18145,19083,"c",,,,,,,,,,,,,6,21165,22458,"c",6,17555,18313,"e",,,,,
,,,,,,,,,,,,7,22773,24569,"u",,,,,,,,,,,,,,,,,,,,,7,22608,24789,"u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,25120,26881,"u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9,27652,28555,"u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
