w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,1069,6552,"e",0,1146,7711,"e",0,2238,4171,"e",0,2390,3225,"c",0,3914,4331,"e",0,2529,3112,"l",0,2884,3651,"t",0,3740,5190,"k",0,1906,2124,"c",0,5253,7570,"s",0,1691,16174,"e",0,5974,8925,"m",0,3425,6508,"e",0,8040,8556,"c",0,2992,3942,"e",0,2172,6005,"m",0,4581,6381,"d",0,4119,5001,"s",
1,7034,8885,"d",1,8661,9512,"k",1,4355,8971,"e",1,5790,6791,"t",1,4415,6864,"e",1,4029,4531,"c",1,4884,5050,"c",1,6007,8491,"s",1,2256,2708,"c",1,8053,9303,"k",1,16607,18290,"d",1,12523,13306,"k",1,6891,7525,"d",1,9339,10873,"s",1,4092,5842,"e",1,6805,7822,"e",1,7664,8265,"c",1,5785,6169,"c",
2,9569,16868,"e",2,10644,11645,"c",2,9688,10170,"d",2,8691,9558,"u",2,8047,11897,"e",2,4929,5847,"c",2,5119,8667,"e",2,9891,10757,"e",2,4523,8540,"e",2,12052,12669,"u",2,19390,24057,"e",2,14474,15131,"s",2,7875,8791,"c",2,10940,11240,"s",2,6559,7943,"d",2,8157,9823,"m",2,8832,11848,"e",2,7484,8351,"d",
3,22352,24852,"e",3,11911,12277,"c",3,10739,21487,"d",3,9975,10274,"t",3,12464,17314,"u",3,7046,8379,"d",3,9251,9501,"d",3,11157,11690,"l",3,8991,15607,"e",3,13319,14154,"u",3,25141,28424,"d",3,17074,17741,"u",3,9258,12308,"e",3,12389,13257,"s",3,8342,12626,"e",3,10488,10989,"e",3,12231,29998,"e",3,9318,10334,"d",
4,25835,27251,"k",4,13011,14928,"k",4,22421,25871,"e",4,11592,11991,"c",4,17831,20863,"u",4,8829,10329,"d",4,10284,13785,"e",4,13174,13674,"k",4,17273,18608,"e",4,19886,20588,"k",,,,,4,29057,29624,"k",4,15975,19340,"e",4,14224,16940,"s",4,16559,17058,"l",4,12189,12888,"k",,,,,4,11251,11501,"d",
,,,,5,17194,18078,"u",5,26721,28271,"e",5,12424,13957,"e",,,,,5,11096,12396,"l",5,14917,30001,"e",5,14007,15141,"k",5,21608,24874,"e",5,22154,22803,"k",,,,,,,,,5,19741,30041,"e",5,18623,19706,"s",5,19608,21159,"e",5,14405,15021,"t",,,,,5,12318,15151,"m",
,,,,6,18844,19494,"l",,,,,6,15441,16224,"e",,,,,6,14447,15446,"e",,,,,6,16191,16975,"k",6,25389,30007,"e",6,23686,25702,"m",,,,,,,,,,,,,6,21756,23073,"k",6,23225,24292,"t",6,17555,18455,"u",,,,,6,16402,16901,"d",
,,,,7,21511,22078,"l",,,,,7,17658,18891,"e",,,,,7,15680,16412,"t",,,,,7,17907,18141,"c",,,,,7,27236,27736,"s",,,,,,,,,,,,,7,23741,24273,"s",7,26226,26459,"u",7,19355,19755,"d",,,,,7,18052,18334,"t",
,,,,8,24145,24928,"e",,,,,8,20124,20775,"k",,,,,8,16912,17313,"c",,,,,8,18657,20807,"u",,,,,8,29053,30003,"c",,,,,,,,,,,,,8,25106,26789,"u",8,28293,28609,"t",8,20256,21355,"s",,,,,8,18668,19001,"d",
,,,,9,25379,25679,"e",,,,,9,21991,23125,"k",,,,,9,17796,18213,"c",,,,,9,21073,21623,"t",,,,,,,,,,,,,,,,,,,,,9,27541,27840,"l",,,,,9,22155,23739,"m",,,,,9,19567,21300,"s",
,,,,10,25711,26761,"u",,,,,10,23858,24992,"c",,,,,10,19163,19812,"k",,,,,10,23557,24624,"k",,,,,,,,,,,,,,,,,,,,,10,29441,30006,"u",,,,,10,24340,24506,"l",,,,,10,23300,23951,"default",
,,,,,,,,,,,,11,25643,26408,"k",,,,,11,20380,21963,"u",,,,,11,25473,26041,"c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,26105,27605,"u",,,,,11,25384,26017,"u",
,,,,,,,,,,,,12,27324,27857,"k",,,,,12,22413,22846,"l",,,,,12,26724,27157,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,28072,28305,"t",,,,,12,26468,28301,"s",
,,,,,,,,,,,,,,,,,,,,13,25779,26879,"k",,,,,13,28190,28673,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,29418,29884,"u",
,,,,,,,,,,,,,,,,,,,,14,27213,29446,"u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
