w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,1714,4097,"u",0,2828,3528,"c",0,9319,10102,"c",0,3377,3627,"c",0,2605,4705,"u",0,3138,3688,"c",0,2471,2722,"c",0,1751,2268,"c",0,1695,3562,"u",0,961,1944,"t",0,1375,8991,"e",0,4073,4573,"c",0,1159,1609,"c",0,1977,2260,"c",0,2737,4870,"e",0,1165,1481,"c",0,5943,6794,"u",0,4690,5573,"k",
1,4414,4680,"c",1,4245,4545,"c",1,10769,12718,"e",1,5077,6160,"d",1,6238,6588,"c",1,4088,4988,"c",1,3738,7071,"e",1,5451,5784,"c",1,4811,6029,"u",1,4177,4361,"s",1,9474,9909,"d",1,5456,6290,"u",1,1909,2176,"c",1,2927,3160,"u",1,5320,5886,"e",1,4881,5398,"c",1,7560,9209,"e",1,6457,6823,"l",
2,4730,5114,"u",2,4778,5111,"c",2,13052,14885,"e",2,7343,9160,"d",2,6938,7271,"c",2,5455,5988,"s",2,8705,9055,"c",2,6684,7484,"l",2,7961,8528,"c",2,4492,5744,"d",2,10675,11572,"c",2,6790,7107,"u",2,2526,2859,"u",2,3327,3527,"t",2,7653,8386,"c",2,5848,6481,"u",2,9959,10393,"e",2,11704,13454,"s",
3,5947,6380,"c",3,5778,6462,"s",,,,,3,9726,10726,"t",3,8871,9821,"d",3,6471,7021,"c",,,,,3,8084,8567,"t",3,9462,9745,"c",3,5961,6977,"s",3,14025,14258,"e",3,7623,8439,"t",3,3993,4976,"d",3,4643,4894,"t",,,,,3,7281,7948,"u",3,14742,15359,"e",3,15854,16404,"t",
4,6780,7582,"c",4,6945,7345,"d",,,,,4,11377,11809,"l",4,16021,16771,"d",4,7404,7771,"t",,,,,4,10067,10684,"t",4,10462,12145,"e",4,7411,8227,"l",4,14708,15308,"e",4,9806,10106,"u",4,5542,6326,"u",4,5876,6677,"t",,,,,4,8498,8814,"t",,,,,4,17638,17937,"t",
5,8647,9030,"c",5,7879,9145,"s",,,,,5,12593,14144,"t",5,17488,17771,"d",5,8238,8571,"d",,,,,5,11401,12017,"t",5,14595,15712,"e",5,8761,9460,"l",5,19092,19391,"u",5,13106,13672,"k",5,7226,8625,"u",5,7510,8126,"t",,,,,5,9481,9917,"t",,,,,5,19704,19887,"t",
,,,,6,9662,10412,"c",,,,,6,14560,15244,"t",6,20638,20955,"c",6,9105,9339,"c",,,,,6,19651,20434,"l",6,20178,21461,"e",6,14928,16028,"s",6,25222,25388,"c",6,17472,17689,"t",6,10443,10775,"u",6,8660,9543,"s",,,,,6,12165,14865,"e",,,,,,,,,
,,,,7,11862,12495,"t",,,,,7,18943,19677,"l",7,22404,25004,"d",7,9472,9922,"t",,,,,7,23151,23684,"l",7,21961,23961,"e",7,18394,18578,"c",7,26005,26188,"c",7,18556,18872,"t",,,,,7,13593,14509,"t",,,,,7,15432,15931,"t",,,,,,,,,
,,,,8,13095,13395,"t",,,,,,,,,8,26071,27454,"e",8,10389,10855,"t",,,,,,,,,8,25494,26028,"d",8,19278,19961,"t",8,26454,26654,"c",8,23423,23939,"l",,,,,8,17410,17977,"l",,,,,8,16881,17131,"t",,,,,,,,,
,,,,9,24345,25295,"s",,,,,,,,,,,,,,,,,,,,,,,,,9,26444,27479,"e",9,22610,23144,"t",,,,,,,,,,,,,9,19477,19943,"t",,,,,9,17648,18482,"u",,,,,,,,,
,,,,10,25829,26315,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,23411,24094,"e",,,,,,,,,,,,,10,20960,21893,"t",,,,,10,18916,19498,"u",,,,,,,,,
,,,,11,27095,27303,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25027,26027,"u",,,,,,,,,,,,,11,24793,25759,"t",,,,,11,22932,23731,"l",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29961,30294,"u",,,,,,,,,,,,,,,,,,,,,12,25314,26215,"t",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,26947,27547,"t",,,,,,,,,
