w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,3374,4193,"d",0,3700,4320,"u",0,3977,11058,"e",0,4430,4914,"c",0,2332,15892,"e",0,5309,6125,"t",0,2026,6318,"d",0,8477,9178,"l",0,1110,7857,"e",0,1593,1811,"c",0,2890,3642,"c",0,9336,9618,"l",0,4684,19779,"e",0,2611,3578,"c",0,3083,4903,"d",0,4566,4850,"c",0,1260,3698,"d",0,5606,6609,"l",
1,7148,8250,"d",1,5405,6122,"k",,,,,1,6050,6316,"c",,,,,1,7361,9099,"k",1,6886,8239,"d",1,11884,12952,"l",1,8191,9426,"t",1,3280,4264,"l",1,6013,7650,"d",1,11356,11657,"t",,,,,1,4179,5799,"c",1,5605,7074,"d",1,6637,8940,"t",1,5151,6154,"d",1,7877,8395,"t",
2,8935,12843,"e",2,8860,9062,"c",,,,,2,9889,10176,"c",,,,,2,11853,12688,"l",2,8623,9858,"d",2,16810,17561,"l",2,10061,10712,"d",2,6018,6752,"l",2,8768,11189,"e",2,12992,13377,"l",,,,,2,6567,7519,"s",2,8276,9077,"c",2,10060,10427,"s",2,8222,9024,"c",2,10966,12503,"t",
3,13460,15416,"d",3,11366,11700,"k",,,,,3,10709,11977,"t",,,,,3,14509,15193,"t",3,10476,13415,"e",3,19432,20317,"l",3,11379,14418,"e",3,8156,12631,"e",3,11773,12942,"d",3,15781,16383,"l",,,,,3,8218,8553,"l",3,9578,15090,"e",3,10511,11412,"t",3,9525,10611,"d",3,14523,15007,"c",
,,,,4,13486,13972,"t",,,,,4,12412,13197,"k",,,,,4,16712,17230,"l",4,14467,19360,"e",4,22636,22905,"c",4,14785,17908,"d",4,15018,15418,"l",4,13594,14496,"d",4,17936,18303,"k",,,,,4,11977,13380,"c",,,,,4,17389,17757,"l",4,11111,13600,"e",4,16143,16410,"l",
,,,,5,15591,15992,"c",,,,,5,14298,15134,"l",,,,,,,,,5,20027,20812,"e",5,23639,23940,"l",5,19061,20731,"e",5,17204,17772,"l",5,15414,16216,"c",5,19454,21676,"e",,,,,5,26253,27171,"d",,,,,5,19578,20062,"l",5,14099,15653,"d",5,17461,17762,"l",
,,,,6,20750,21869,"k",,,,,6,16136,16303,"l",,,,,,,,,6,22349,22765,"l",6,25342,25743,"l",6,21230,30066,"e",6,19177,19609,"l",6,16767,22978,"e",6,22059,25734,"e",,,,,6,27640,29208,"k",,,,,,,,,6,16388,20546,"e",6,19332,21151,"l",
,,,,7,22721,23105,"t",,,,,7,16453,16870,"c",,,,,,,,,7,23734,30062,"e",7,28365,28699,"l",,,,,7,22048,22332,"c",7,23528,25082,"d",,,,,,,,,,,,,,,,,,,,,,,,,7,22721,23322,"l",
,,,,8,25276,25827,"t",,,,,8,17856,18323,"c",,,,,,,,,,,,,,,,,,,,,8,23051,23902,"c",8,26001,27435,"e",,,,,,,,,,,,,,,,,,,,,,,,,8,25177,25494,"l",
,,,,9,26293,26677,"c",,,,,9,20210,20711,"c",,,,,,,,,,,,,,,,,,,,,9,29194,29429,"l",9,28005,30058,"e",,,,,,,,,,,,,,,,,,,,,,,,,9,28199,29033,"l",
,,,,10,27228,27663,"k",,,,,10,21529,21746,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,23015,24668,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,27507,27874,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,29377,29794,"c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
