w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,6710,14387,"e",0,1451,3082,"c",0,9576,10158,"c",0,1597,2979,"m",0,10221,12102,"e",0,5323,6023,"t",0,12204,16802,"e",0,4955,6204,"t",0,14686,15100,"l",0,2158,4039,"c",0,2855,3105,"c",0,6907,7690,"u",0,8080,13310,"e",0,6732,7500,"c",0,10825,17172,"e",0,1796,2695,"t",0,3581,9725,"e",0,7415,8297,"t",
,,,,1,4248,5181,"t",1,14007,16953,"e",1,8292,9125,"t",,,,,1,7056,7804,"c",1,21380,23346,"e",1,10617,11350,"t",1,17481,18097,"l",1,5205,5587,"u",1,4004,6320,"u",1,8389,9140,"t",1,18257,21357,"e",1,8497,9631,"l",1,18320,23216,"e",1,5209,5991,"t",,,,,1,9763,11161,"l",
,,,,2,9461,10343,"t",,,,,2,10091,11406,"l",,,,,2,8021,8953,"c",2,25277,26776,"e",2,14463,15014,"t",2,20312,27640,"e",2,7852,8752,"s",2,8368,10581,"e",2,11687,11903,"c",2,25683,30180,"u",2,12827,13494,"l",,,,,2,7290,7591,"l",,,,,2,13727,14291,"t",
,,,,3,13507,14423,"t",,,,,3,12821,13187,"l",,,,,3,9885,10453,"t",,,,,,,,,3,28155,28939,"t",3,12765,12998,"t",3,11930,13796,"e",3,12286,12720,"t",,,,,3,16207,16491,"l",,,,,3,11802,12102,"c",,,,,3,25384,26017,"t",
,,,,4,17005,17639,"t",,,,,4,18367,18835,"u",,,,,4,21393,21576,"t",,,,,,,,,4,30053,30253,"u",4,14263,14948,"t",4,14845,15261,"l",4,14003,14302,"l",,,,,4,16924,17173,"t",,,,,4,14033,14367,"c",,,,,,,,,
,,,,5,19253,19969,"t",,,,,5,19942,20282,"t",,,,,5,22775,23091,"l",,,,,,,,,,,,,5,17444,18195,"l",5,26435,30000,"m",5,20945,21114,"l",,,,,,,,,,,,,5,15116,15299,"t",,,,,,,,,
,,,,6,22350,22966,"t",,,,,6,25678,26110,"u",,,,,,,,,,,,,,,,,,,,,6,24388,24922,"l",,,,,6,23545,24026,"l",,,,,,,,,,,,,6,16032,16348,"t",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27535,28600,"u",,,,,7,25377,25827,"l",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,29568,29983,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
