w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,11251,22973,"e",0,4798,5917,"l",0,7654,14400,"e",0,20723,23979,"u",0,10749,18598,"e",,,,,0,4010,34085,"e",0,8134,8634,"c",0,2383,4773,"e",0,10360,18410,"d",0,2361,24902,"e",,,,,0,3512,16093,"e",0,12969,24993,"u",0,3504,24445,"e",0,4914,11460,"s",0,1950,21940,"e",0,22619,23453,"d",
,,,,1,25805,28111,"d",,,,,,,,,,,,,,,,,,,,,1,9462,13327,"d",1,5539,26262,"e",1,21232,22819,"d",,,,,,,,,1,17406,18007,"d",1,33293,34295,"u",,,,,1,32333,33069,"u",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13961,17735,"d",2,26913,28133,"e",2,23636,24789,"u",,,,,,,,,2,19644,21480,"e",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20056,28873,"s",3,29185,32397,"e",3,26093,28262,"u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29908,32720,"s",,,,,4,28897,29732,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
