w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,3139,3805,"l",0,7730,10646,"s",0,7858,10841,"e",0,9346,11063,"u",0,5262,7130,"e",0,6063,8347,"m",0,6888,9922,"e",0,9909,11242,"e",0,10583,11583,"e",0,7937,9137,"u",0,10054,11904,"e",0,4171,7871,"s",0,8646,9345,"l",0,6557,8390,"u",0,9920,11853,"e",0,8727,10377,"m",0,8281,8514,"e",0,14716,17416,"s",
1,7054,7405,"k",1,11062,11412,"t",1,12891,13991,"e",1,11678,14712,"e",,,,,1,10797,15430,"m",1,11621,13556,"e",1,12693,15410,"k",1,13699,14050,"l",1,10254,10837,"c",1,12403,13621,"e",1,8489,11604,"k",1,13195,13962,"l",1,10291,13357,"e",,,,,1,11961,13444,"m",1,8747,11230,"e",1,18049,21798,"k",
2,16290,17038,"u",2,13846,17230,"e",,,,,2,15812,19262,"m",,,,,2,18429,20213,"u",2,17256,18640,"e",2,16592,16843,"c",2,28016,28283,"l",2,12004,12987,"k",2,14220,14937,"e",,,,,2,15594,17644,"e",,,,,,,,,2,20044,21194,"l",2,11998,16198,"e",2,24332,29233,"k",
,,,,,,,,,,,,3,19663,20613,"u",,,,,,,,,3,19339,20472,"e",3,17309,20227,"k",,,,,3,14537,17037,"s",3,18520,19271,"e",,,,,3,21428,22396,"e",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,22162,22762,"t",,,,,,,,,,,,,4,21460,23326,"k",,,,,4,17487,19837,"m",4,22103,23838,"e",,,,,4,23545,24728,"e",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29092,30010,"u",,,,,5,20289,21487,"m",,,,,,,,,5,29495,29996,"e",,,,,,,,,,,,,,,,,,,,,
