w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,4492,11315,"e",0,2725,3111,"c",0,2489,9380,"e",0,3004,7152,"k",0,3849,22849,"e",0,5674,11713,"k",0,5208,20213,"e",0,5420,14954,"k",0,3047,16545,"e",0,4494,16671,"m",0,6261,17468,"m",0,3545,16490,"s",0,3170,13641,"e",0,3191,13761,"m",0,3362,8798,"e",0,3962,11087,"m",0,6765,16582,"e",0,3600,3799,"c",
,,,,1,3628,5451,"c",1,17508,19833,"e",1,9494,14159,"s",,,,,1,12263,20676,"m",1,20763,24075,"e",1,15891,27499,"m",1,18769,24908,"e",1,17673,27893,"m",1,18239,28039,"e",1,17176,29100,"s",1,19210,28827,"e",1,14279,18026,"k",1,19083,21726,"e",1,17125,23665,"m",,,,,1,4937,17531,"u",
,,,,2,7760,20871,"m",2,20234,22494,"e",2,14811,20765,"k",,,,,2,21263,25662,"k",,,,,2,28066,30308,"k",2,29674,30143,"u",2,28662,30117,"k",,,,,2,29586,30255,"u",,,,,,,,,2,22612,23549,"u",2,24217,30255,"m",,,,,2,20625,25626,"u",
,,,,3,24468,30272,"m",,,,,3,21569,29430,"m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29106,29272,"c",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29440,30260,"u",
