w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,1530,6914,"e",0,7528,9577,"m",0,2498,5115,"e",0,8680,10379,"s",0,2642,8091,"e",0,3581,4348,"t",0,2908,8507,"e",0,1708,4558,"s",0,5253,9834,"e",0,3846,5346,"s",0,2574,9174,"e",,,,,0,3921,7304,"e",0,17089,17555,"c",0,3371,4238,"c",0,4682,6050,"u",0,6622,7788,"e",0,3606,4056,"u",
1,8314,10731,"e",1,10743,11860,"s",1,10082,19699,"e",1,10862,11912,"t",,,,,1,6964,8697,"c",1,12592,16291,"e",1,5491,6191,"t",1,10834,11517,"e",1,6363,7563,"t",1,18473,19756,"e",,,,,1,8354,9304,"e",1,19055,19938,"c",1,4788,10404,"e",1,10366,12134,"s",1,8605,10605,"e",1,5656,6506,"t",
2,11831,18362,"e",2,13359,14110,"s",,,,,2,12745,14445,"s",,,,,2,9581,11247,"c",,,,,2,7491,8124,"t",2,12484,29783,"e",2,9663,10579,"t",2,22890,24290,"e",,,,,2,18187,19687,"e",,,,,,,,,,,,,2,15806,21241,"e",2,7023,7890,"u",
,,,,3,16292,16543,"l",,,,,3,18229,19445,"s",,,,,3,15032,15648,"t",,,,,3,9541,10442,"t",,,,,,,,,3,24773,25406,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,20278,22028,"e",,,,,4,16581,17365,"t",,,,,4,17640,18740,"s",,,,,,,,,4,26740,28339,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,19707,20840,"t",,,,,,,,,5,29190,30007,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23558,24558,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25558,26358,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,28092,28592,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
