w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,2297,8830,"e",0,3679,6563,"s",0,2177,2860,"d",0,3055,4255,"t",0,2349,3232,"u",0,2078,2844,"s",0,3383,6300,"e",0,1295,2728,"s",0,3742,13658,"e",0,3550,4884,"t",0,2955,9939,"e",0,6865,9198,"u",0,2834,11284,"e",0,1043,4727,"m",0,564,1847,"u",0,2245,3845,"s",0,2114,10648,"e",0,13168,14452,"s",
,,,,1,7513,8546,"s",1,3645,4377,"c",1,5738,7138,"s",1,6866,11917,"e",1,3978,4894,"t",1,7833,12050,"e",1,6678,8278,"s",,,,,1,5951,6535,"t",1,10622,11755,"c",1,10181,10597,"c",1,13468,15101,"e",1,5310,5960,"c",1,2401,8731,"e",1,4728,5678,"s",,,,,1,16135,17168,"c",
,,,,2,15363,16096,"m",2,7443,9911,"e",2,7622,9904,"s",,,,,2,5744,7294,"s",2,13700,14450,"e",2,9278,10861,"s",,,,,2,8801,10585,"s",,,,,2,12314,12697,"c",,,,,2,7660,9243,"s",,,,,2,7545,8845,"t",,,,,2,18851,19318,"t",
,,,,3,17230,17879,"t",,,,,3,11388,12188,"s",,,,,,,,,,,,,3,11628,12111,"t",,,,,,,,,,,,,3,13531,13797,"c",,,,,,,,,,,,,3,9278,10411,"t",,,,,3,20268,20986,"t",
,,,,,,,,,,,,4,16688,18221,"s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23835,25002,"s",
,,,,,,,,,,,,5,18888,19438,"k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25619,27668,"s",
