w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,4541,6970,"u",0,12770,13891,"l",0,4153,9470,"default",0,10730,13093,"s",0,3662,7400,"e",0,11780,12651,"u",0,4074,8292,"e",0,3933,5076,"t",0,3786,5076,"l",0,2338,7033,"s",0,2062,3675,"u",0,3900,4924,"u",0,1540,4194,"u",0,4739,7321,"s",0,1687,4467,"u",0,12275,15678,"s",0,4130,6796,"u",0,9634,10312,"c",
1,7401,10542,"e",1,16221,19002,"k",1,12676,19788,"default",1,14400,16429,"s",1,12471,14210,"e",1,13965,15116,"t",1,9243,14242,"e",1,12316,16996,"s",1,12629,14834,"u",1,10118,12415,"u",1,4384,11211,"e",1,5892,7304,"u",1,8135,10598,"e",1,12918,17926,"s",1,5067,11910,"e",1,16433,19381,"s",1,7746,14486,"e",1,11880,15787,"s",
2,12426,17982,"u",2,19791,20377,"l",,,,,2,17302,18954,"s",,,,,2,19195,20948,"l",,,,,2,17771,18251,"t",2,18119,22714,"e",2,13354,14880,"m",2,12316,12600,"c",2,11496,14782,"m",2,11739,18230,"m",2,19477,22241,"s",,,,,2,31618,33853,"s",,,,,2,19611,20968,"u",
3,19663,22977,"e",,,,,,,,,3,28605,30362,"d",,,,,3,22408,24062,"s",,,,,,,,,,,,,3,15902,20915,"s",3,12968,16820,"e",3,17800,18450,"c",3,22902,26055,"e",,,,,,,,,3,35027,36888,"s",,,,,,,,,
,,,,,,,,,,,,4,33615,35291,"s",,,,,4,25076,25822,"c",,,,,,,,,,,,,4,22692,25023,"k",,,,,4,20399,21789,"t",,,,,,,,,,,,,4,37642,39124,"m",,,,,,,,,
,,,,,,,,,,,,5,36572,38209,"s",,,,,5,28987,30579,"t",,,,,,,,,,,,,5,27876,30271,"u",,,,,5,23871,25194,"c",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,38761,39840,"l",,,,,6,32686,35355,"k",,,,,,,,,,,,,,,,,,,,,6,26159,27675,"u",,,,,,,,,,,,,,,,,,,,,,,,,
