w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,8477,9225,"k",0,1807,2421,"t",0,2948,3729,"l",0,4794,6125,"l",0,6341,7488,"t",0,1441,2455,"t",,,,,0,6347,7311,"k",,,,,0,2598,3364,"u",0,22093,22809,"l",0,8132,8730,"u",,,,,0,6196,6995,"u",0,8510,9041,"c",,,,,,,,,0,5449,6530,"t",
,,,,1,9886,10285,"l",1,9608,10463,"t",1,8552,9999,"d",1,15768,16650,"k",1,3436,4201,"k",,,,,1,8508,9622,"k",,,,,1,7420,8883,"u",1,23955,24621,"l",1,9878,10493,"k",,,,,1,11184,12016,"l",1,10986,18801,"e",,,,,,,,,1,9606,10054,"u",
,,,,2,48159,48425,"l",2,11228,12043,"u",2,10613,12292,"l",2,17880,18296,"l",2,6479,6927,"t",,,,,,,,,,,,,,,,,2,26283,26582,"t",2,12471,13287,"t",,,,,,,,,2,19482,20796,"k",,,,,,,,,2,13047,14794,"s",
,,,,,,,,,,,,,,,,3,22252,23100,"t",3,8590,9322,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18102,18367,"l",
