w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,2276,8681,"e",0,3113,5065,"s",0,2976,3243,"c",0,1507,1754,"c",0,866,3636,"e",0,844,3947,"s",0,2128,8166,"e",0,2177,2643,"k",0,1544,4613,"k",0,1269,4538,"s",0,1471,10863,"e",0,1216,3601,"e",0,1351,6773,"e",0,1303,6442,"s",0,2687,3638,"k",0,981,3232,"e",0,1264,2199,"l",0,986,4255,"s",
1,21741,26845,"e",1,5482,7517,"e",1,4778,5746,"c",1,1788,2187,"c",1,5203,11460,"e",1,4464,6149,"s",1,8550,14255,"e",1,4228,8098,"e",1,4914,5180,"c",1,4888,8275,"s",1,11364,14616,"e",1,5135,7470,"k",1,7223,8791,"e",1,7526,9610,"s",1,5173,9460,"e",1,4333,6251,"s",1,2348,3600,"e",1,4806,6074,"s",
,,,,2,8251,10887,"e",2,6397,6596,"c",2,2372,3105,"e",2,12343,12612,"c",2,8218,9618,"s",2,15856,16391,"e",2,9850,12169,"u",2,6949,9884,"e",2,12312,13062,"l",2,22023,22406,"d",2,8489,8889,"u",2,14846,15998,"e",2,10078,12012,"s",2,14063,15630,"s",2,6602,8203,"s",2,3884,9087,"e",2,11128,12012,"t",
,,,,3,12854,15273,"k",3,7164,8547,"e",3,3339,5859,"e",,,,,3,14941,17560,"e",3,18426,18709,"e",3,13887,14870,"u",3,10252,15373,"e",,,,,3,25242,25627,"d",3,9958,11459,"s",3,16281,18250,"e",3,13196,14148,"l",3,16098,18618,"s",3,12474,14191,"s",3,12491,16878,"e",3,13046,13830,"l",
,,,,4,15640,17558,"s",4,8615,8832,"c",4,6226,8478,"e",,,,,4,19527,20946,"e",4,19009,20043,"e",4,16439,16839,"k",4,19777,20143,"c",,,,,4,26260,26476,"u",4,22718,22952,"l",,,,,4,18017,20837,"s",4,22354,22687,"u",4,14608,15160,"l",,,,,4,16899,17233,"l",
,,,,5,20712,21097,"t",5,18507,18707,"d",5,8761,9845,"c",,,,,5,22196,23631,"e",5,25214,27823,"e",5,18523,19142,"u",5,20544,28834,"e",,,,,,,,,,,,,,,,,5,21904,22171,"u",5,22771,23105,"u",5,17829,18361,"l",,,,,,,,,
,,,,6,23247,23814,"l",6,20325,21109,"e",6,10179,11046,"e",,,,,6,24316,28736,"e",,,,,6,21010,21710,"u",6,29151,30319,"e",,,,,,,,,,,,,,,,,,,,,6,26323,26689,"l",6,20614,21181,"l",,,,,,,,,
,,,,7,27968,28385,"l",,,,,7,11313,12464,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,12681,14098,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9,14316,16134,"s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,16534,18602,"s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
