w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,3374,9528,"e",0,3821,4845,"k",0,6157,10787,"e",0,5657,5958,"t",0,7922,12787,"e",0,5824,6729,"t",0,3961,10973,"e",0,2113,2381,"k",0,5910,8040,"e",0,5922,6493,"k",0,3980,6095,"e",0,2420,2673,"t",0,4766,6159,"d",0,4384,5255,"u",0,5651,17074,"e",0,4278,4580,"l",0,3166,4156,"k",0,2032,2619,"u",
,,,,1,8400,11219,"s",,,,,1,8961,9667,"t",1,14296,15134,"e",1,11526,12533,"t",1,12247,13303,"e",1,6340,7228,"l",1,17046,17532,"e",1,8689,9463,"k",1,12484,14496,"e",1,5977,6429,"c",1,10722,12398,"d",1,7403,7804,"c",1,21720,22391,"e",1,7483,7702,"k",1,5583,8384,"e",1,6762,7332,"c",
,,,,2,17910,18933,"k",,,,,2,13657,14161,"t",,,,,2,15819,16676,"k",2,15469,15887,"u",2,9476,10147,"t",,,,,2,14527,14828,"k",2,16794,18153,"e",2,8375,9516,"k",2,13941,17279,"e",2,9046,9364,"t",,,,,2,9714,10518,"t",,,,,2,7561,8946,"t",
,,,,3,21164,22137,"k",,,,,3,15653,16257,"c",,,,,3,18521,19444,"l",3,16742,17196,"u",3,15095,15816,"t",,,,,,,,,3,19461,20383,"e",3,12736,14615,"k",3,22143,23821,"e",3,10891,12182,"t",,,,,3,14040,14778,"t",,,,,3,11173,11827,"l",
,,,,,,,,,,,,4,16442,17464,"t",,,,,4,23351,23654,"t",4,24122,24289,"c",4,17392,18719,"l",,,,,,,,,,,,,,,,,4,24474,25682,"e",4,19849,20619,"u",,,,,4,18602,19676,"t",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,24827,25079,"t",5,24424,26051,"e",5,20848,21117,"t",,,,,,,,,,,,,,,,,,,,,5,22347,23285,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6,27578,28734,"e",6,29251,30493,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
