w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,5687,11086,"e",0,1517,1836,"u",0,6653,15178,"e",0,2877,3044,"c",0,1496,8750,"default",0,2254,4328,"t",0,3586,3752,"c",0,4059,4427,"c",0,1792,17035,"e",0,1216,2237,"k",0,2292,21698,"e",0,2093,5637,"s",0,1230,16408,"e",0,3489,3940,"c",0,5189,12309,"e",0,4080,4297,"c",0,1995,2513,"c",0,1919,3141,"k",
,,,,1,4293,5379,"l",,,,,1,3160,7121,"e",,,,,1,13003,14758,"u",1,3770,7631,"e",1,4510,5095,"l",1,22250,27433,"e",1,4660,5095,"t",1,22367,23604,"u",1,13026,13778,"k",1,19451,30132,"e",1,4056,8270,"s",,,,,1,4799,5384,"t",1,2581,6243,"e",1,7101,7703,"l",
,,,,2,6081,6733,"l",,,,,2,7891,9511,"k",,,,,2,17482,18334,"l",2,23811,26704,"e",2,7136,7820,"t",,,,,2,6298,7485,"k",2,23938,29972,"e",2,15165,15851,"l",,,,,2,11129,11980,"k",,,,,2,11001,11469,"t",2,7798,9685,"e",2,8874,9475,"t",
,,,,3,8405,9023,"l",,,,,3,10416,12453,"e",,,,,3,19890,20358,"t",3,28225,30129,"k",3,8790,9208,"l",,,,,3,16395,16795,"t",,,,,,,,,,,,,3,18617,19034,"t",,,,,3,12254,13024,"t",,,,,3,11782,12017,"l",
,,,,4,14690,15358,"t",,,,,4,16732,21998,"u",,,,,4,26307,27093,"l",,,,,4,14975,15493,"t",,,,,4,20072,21125,"l",,,,,,,,,,,,,4,20321,20722,"t",,,,,4,14712,15397,"t",,,,,4,12585,12952,"l",
,,,,5,18000,18601,"u",,,,,5,23116,25356,"u",,,,,5,28464,29115,"t",,,,,5,16178,16948,"l",,,,,5,21944,22563,"t",,,,,,,,,,,,,5,23514,23864,"l",,,,,5,16735,17370,"k",,,,,5,14925,15860,"l",
,,,,6,21526,21995,"u",,,,,6,28883,30221,"k",,,,,,,,,,,,,6,22395,22899,"l",,,,,,,,,,,,,,,,,,,,,6,28161,28478,"l",,,,,6,20027,20194,"c",,,,,6,17582,18184,"t",
,,,,7,25922,26490,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20913,22919,"k",,,,,7,22431,22848,"l",
,,,,8,28396,28798,"u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,24724,25208,"l",,,,,8,26775,27344,"l",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,26413,26964,"l",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,29606,30141,"t",,,,,,,,,
