w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,2783,7390,"e",0,2814,4114,"l",0,4798,8898,"e",0,3201,4967,"k",0,2965,7231,"e",0,6306,7739,"t",0,844,1061,"c",0,5293,6793,"l",0,1902,7417,"e",0,4495,6046,"s",0,1641,6657,"e",0,4651,6334,"s",0,2297,9747,"e",0,1116,1283,"c",0,1534,6597,"e",0,1227,2580,"c",0,1978,5310,"e",0,1243,3159,"s",
,,,,1,4781,5680,"l",,,,,1,5633,8134,"k",,,,,1,8472,9689,"k",1,3511,8661,"e",1,8527,11211,"s",1,8352,10968,"e",1,7012,9179,"s",1,7724,8658,"e",1,6817,8900,"s",1,10697,11630,"e",1,1933,3117,"s",1,15398,15997,"t",1,5875,8376,"s",,,,,1,4342,5759,"t",
,,,,,,,,,,,,2,9534,14006,"m",,,,,,,,,2,9894,11294,"e",2,11759,13427,"s",2,12735,14269,"c",,,,,,,,,2,9693,11267,"s",,,,,2,3767,3952,"c",,,,,2,9018,10276,"s",,,,,2,22160,22742,"t",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14626,16027,"s",3,17457,24169,"e",,,,,,,,,,,,,,,,,3,7233,10850,"s",,,,,,,,,,,,,3,24875,25291,"t",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,28402,30752,"k",,,,,,,,,,,,,,,,,4,11338,12833,"s",,,,,,,,,,,,,4,26591,29559,"m",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31285,32969,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32208,33975,"s",
