w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,4661,7543,"e",0,3046,7048,"e",0,2207,7622,"e",0,2113,3059,"c",0,3270,9921,"e",0,3289,5113,"c",0,5536,20771,"e",0,3367,9810,"m",0,1553,3450,"e",0,1360,13961,"m",0,2301,17081,"e",0,5267,6904,"c",0,2616,7881,"e",0,2005,9439,"s",0,2605,14101,"e",0,1546,7063,"c",0,3644,8906,"e",0,5376,7162,"c",
,,,,1,8642,9674,"c",,,,,1,4687,8077,"s",,,,,1,8915,9178,"c",1,21686,23782,"e",1,11040,12373,"t",1,6689,9534,"e",1,14847,17640,"u",,,,,1,9445,10739,"c",,,,,1,10713,13147,"e",1,15512,19398,"e",1,8765,13330,"c",,,,,1,9936,12825,"e",
,,,,,,,,,,,,2,9735,12035,"c",,,,,2,9379,9953,"t",2,24440,25220,"d",2,13270,14463,"c",2,22542,24073,"e",2,20209,22564,"u",,,,,2,12581,14078,"s",,,,,2,14198,15575,"e",,,,,,,,,,,,,2,14468,19711,"s",
,,,,,,,,,,,,3,13447,14029,"c",,,,,3,11614,14188,"c",3,25938,27843,"e",3,15244,17270,"t",,,,,3,24348,26773,"u",,,,,3,14958,16181,"c",,,,,3,16381,18159,"e",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,15605,16419,"c",,,,,4,15434,26883,"u",4,28607,29537,"e",4,18785,20110,"u",,,,,,,,,,,,,4,18022,19831,"u",,,,,4,20450,21861,"e",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,29060,31794,"u",,,,,5,21987,24002,"u",,,,,,,,,,,,,5,21758,22500,"c",,,,,5,23174,24273,"e",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24740,25254,"c",,,,,,,,,,,,,,,,,,,,,6,27003,27665,"c",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,26550,26550,"e",,,,,,,,,,,,,,,,,,,,,7,29763,31155,"c",,,,,,,,,,,,,,,,,
