w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,6822,7007,"l",0,2428,2995,"l",0,6616,7016,"l",0,3165,4248,"t",,,,,0,5873,6271,"k",0,4532,4916,"l",0,1819,2269,"l",0,10696,10896,"l",0,4462,4896,"t",0,4548,4752,"t",0,4590,5040,"l",0,23531,23813,"t",0,3506,3872,"c",0,5348,5664,"l",0,5407,7607,"s",,,,,0,6736,7869,"t",
1,11639,11807,"l",1,7161,7611,"l",1,14650,14848,"l",1,8749,9316,"l",,,,,1,7640,8238,"u",1,27448,27631,"l",1,6053,6253,"t",1,24329,24496,"t",1,10597,11246,"l",1,12148,12382,"l",1,10923,11340,"l",1,26348,26514,"l",1,4254,5405,"k",,,,,1,12558,12758,"t",,,,,1,9353,9719,"t",
2,13322,13506,"t",,,,,,,,,2,11314,11497,"l",,,,,2,9622,9873,"t",,,,,2,8469,8737,"l",,,,,2,17463,17697,"l",,,,,2,12773,13141,"t",,,,,2,8772,9222,"l",,,,,2,15257,15657,"t",,,,,2,14453,15169,"k",
,,,,,,,,,,,,3,21614,21831,"t",,,,,3,12022,12256,"l",,,,,3,29701,29885,"l",,,,,,,,,,,,,3,16040,16373,"t",,,,,3,15055,15606,"t",,,,,3,22875,23191,"t",,,,,3,17086,17602,"t",
,,,,,,,,,,,,,,,,,,,,4,16089,16656,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20905,21754,"t",,,,,4,24507,24840,"t",,,,,4,25968,26236,"l",
,,,,,,,,,,,,,,,,,,,,5,19522,20039,"t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29705,30004,"u",,,,,5,26224,26540,"l",,,,,,,,,
