w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,3346,3762,"m",0,1426,8642,"s",0,4638,10905,"e",0,4643,9126,"e",0,3006,4591,"c",0,4319,9018,"m",0,3429,13210,"e",0,3376,7942,"k",0,5850,6443,"c",0,1684,12235,"m",0,2477,4338,"u",0,13266,13948,"c",0,2331,11231,"e",0,2704,3122,"c",0,1040,4953,"e",0,3689,7959,"s",0,1350,4433,"e",0,6976,10577,"s",
1,4562,5062,"m",1,9360,15226,"m",,,,,1,10309,11926,"k",1,5274,6041,"c",1,12587,18251,"k",1,17695,19010,"e",1,9027,11092,"k",1,7742,8226,"c",1,12688,13407,"k",1,5254,5505,"c",1,27519,28197,"t",1,12377,18847,"e",1,4536,5087,"c",,,,,1,8538,12540,"s",1,4733,14882,"e",1,12101,14261,"s",
2,6061,6562,"m",2,16410,19315,"e",,,,,2,15376,18542,"k",2,9158,11540,"e",2,22735,31384,"m",,,,,2,21409,22094,"l",2,9743,13660,"e",,,,,2,6404,15821,"e",2,29749,30782,"u",2,19414,19662,"d",2,6518,8371,"k",,,,,2,13523,17726,"s",,,,,2,17243,18059,"l",
3,7928,13961,"m",3,19709,22375,"e",,,,,3,27960,28943,"u",,,,,,,,,,,,,3,23541,24276,"l",3,15008,16858,"e",,,,,3,18937,25641,"e",,,,,3,20597,32079,"l",3,11289,12386,"k",,,,,3,30304,30738,"l",,,,,3,21859,22242,"c",
4,16077,16695,"k",,,,,,,,,4,29775,31542,"u",,,,,,,,,,,,,,,,,4,20743,23042,"e",,,,,4,28220,30472,"e",,,,,,,,,4,14052,16601,"u",,,,,,,,,,,,,4,23326,23725,"l",
5,17710,19445,"k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26092,27392,"e",,,,,5,31237,31904,"e",,,,,,,,,5,18937,19819,"u",,,,,,,,,,,,,5,26093,26508,"l",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,20719,21285,"u",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22384,24835,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,24835,25234,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30134,30569,"l",,,,,,,,,,,,,,,,,
