w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,4153,5475,"k",0,4767,7501,"u",0,4024,11032,"k",0,6291,9658,"s",0,2621,6223,"e",,,,,0,5067,6377,"e",0,11785,15069,"k",0,4935,7141,"u",,,,,0,5041,9042,"u",0,8510,11093,"t",0,2513,7913,"u",0,4645,9679,"e",0,3654,4984,"k",0,1312,11167,"u",0,2458,10207,"e",0,3951,11153,"u",
1,6957,8324,"l",1,10800,11849,"t",1,11865,14331,"e",1,12307,13588,"u",,,,,,,,,1,12627,14244,"e",,,,,1,8200,11065,"e",,,,,1,12758,15306,"e",1,17243,17692,"l",1,9648,11912,"k",1,15610,16109,"c",1,11815,13249,"e",1,14117,17633,"e",1,10922,13756,"e",,,,,
2,11440,12355,"e",2,13682,14349,"e",,,,,,,,,,,,,,,,,2,17893,18648,"k",,,,,2,21281,24397,"e",,,,,2,20156,21539,"e",,,,,2,15226,17278,"e",2,16293,20994,"e",2,28232,29212,"k",2,25015,26965,"u",,,,,,,,,
,,,,3,16115,17548,"e",,,,,,,,,,,,,,,,,3,22924,23877,"k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34545,35046,"t",3,27448,29397,"u",,,,,,,,,
