w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,6048,18514,"e",0,11315,12032,"t",0,5060,16427,"e",0,6275,6525,"l",0,3616,12632,"e",,,,,0,5126,7376,"e",0,9041,9858,"t",0,3949,21465,"e",0,8754,10688,"u",0,4604,6638,"e",0,7709,8010,"t",0,4271,21669,"e",0,9551,10333,"t",0,7439,10756,"e",0,7129,8813,"s",0,3531,10230,"e",0,5805,6204,"l",
1,19115,21515,"e",1,13765,14699,"t",1,19793,21177,"e",1,8457,9391,"k",,,,,,,,,1,9493,9876,"d",1,10708,11776,"t",,,,,1,11438,13671,"u",1,7988,8720,"e",1,10610,10859,"t",,,,,1,12267,14418,"s",,,,,1,9895,11130,"k",1,12147,12480,"t",1,12072,12405,"l",
,,,,,,,,2,24494,26909,"e",2,12574,13758,"k",,,,,,,,,2,11443,12009,"e",2,12792,13325,"l",,,,,2,15554,19888,"k",2,9370,9703,"c",2,19893,20143,"t",,,,,2,16650,18217,"s",,,,,2,12813,13478,"k",2,16463,18030,"e",,,,,
,,,,,,,,,,,,3,17507,17957,"c",,,,,,,,,3,13476,14093,"e",3,16008,16241,"l",,,,,3,20453,23786,"k",3,10771,11021,"c",3,22692,22910,"t",,,,,3,21883,22149,"k",,,,,,,,,3,19180,19448,"c",,,,,
,,,,,,,,,,,,4,20607,21325,"t",,,,,,,,,4,14709,15095,"d",,,,,,,,,4,26053,27436,"k",4,12687,13104,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5,22274,23174,"l",,,,,,,,,5,16026,16376,"e",,,,,,,,,5,29237,30037,"k",5,14070,15021,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6,17027,17277,"d",,,,,,,,,,,,,6,16270,17420,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7,17959,18442,"d",,,,,,,,,,,,,7,22120,23153,"c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8,21943,23776,"e",,,,,,,,,,,,,8,23837,24519,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,25076,30025,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
