w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,5040,23877,"e",0,6346,7146,"e",0,2061,7195,"e",0,5977,8911,"m",0,2687,14890,"e",0,5077,7177,"m",0,8419,13271,"e",0,9682,11166,"u",0,2839,15808,"e",0,3532,4998,"k",0,3385,15838,"e",0,6017,7518,"k",0,4345,8299,"e",0,4640,5956,"l",0,7830,16099,"e",0,6011,6744,"l",0,6294,13127,"e",0,9340,9508,"c",
,,,,1,8896,9596,"t",,,,,1,12495,14429,"u",,,,,1,9412,10261,"k",,,,,1,12582,13416,"k",1,16309,18310,"e",1,5699,6749,"m",,,,,1,11686,12902,"k",1,8713,10247,"e",1,6824,7390,"k",1,17749,25317,"e",1,13245,14397,"t",,,,,1,9674,12392,"s",
,,,,2,12114,13347,"l",,,,,2,16063,17246,"u",,,,,,,,,,,,,2,16267,17384,"k",,,,,2,8082,10016,"m",,,,,2,27439,27706,"k",,,,,,,,,,,,,,,,,,,,,2,18910,19676,"l",
,,,,3,15548,17465,"l",,,,,3,21630,22180,"k",,,,,,,,,,,,,,,,,,,,,3,18638,20135,"s",,,,,3,29407,30107,"k",,,,,,,,,,,,,,,,,,,,,3,21393,22644,"l",
,,,,4,18565,19715,"k",,,,,4,23597,24048,"k",,,,,,,,,,,,,,,,,,,,,4,21619,22969,"s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,20365,20933,"k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,21901,22583,"s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
