w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,1232,8888,"e",0,4746,5530,"t",0,3665,3916,"c",0,4776,5960,"k",0,3084,4168,"e",0,1942,3459,"m",0,2597,6502,"e",0,2010,2794,"l",0,1572,7663,"e",0,908,1708,"l",0,2712,7833,"e",0,4100,4800,"l",0,2208,7663,"e",0,2474,3490,"t",0,6773,8208,"e",0,4530,5383,"t",0,1905,6076,"e",0,10025,10693,"t",
1,9605,10207,"c",1,6231,6999,"t",1,4032,10038,"e",1,7312,8046,"t",1,5102,7204,"e",1,4343,5561,"t",1,6602,7002,"e",1,3493,4696,"t",1,8864,9281,"e",1,3243,4380,"k",1,10803,11154,"c",1,6017,6668,"t",,,,,1,3958,4724,"m",1,8809,9025,"e",1,6165,7268,"l",1,29800,30016,"c",1,11042,11943,"t",
2,11241,11557,"e",,,,,,,,,,,,,,,,,2,21994,22228,"l",,,,,2,29620,29820,"t",2,9897,10966,"e",2,8247,9116,"k",2,11654,11954,"c",2,8220,9172,"t",,,,,2,23193,23360,"t",,,,,,,,,,,,,2,13978,14380,"k",
3,13127,15596,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12484,12767,"c",,,,,3,12687,12939,"c",,,,,,,,,3,23877,24077,"l",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13151,13601,"c",,,,,4,13306,13539,"c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13818,14069,"c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15353,15554,"l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17304,17556,"e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
